GCM Id,Message,,,,
APA91bED4B1wF9rzbg-ZRKs1DVEB_xGJ9aavyibMUIaxMLy7oL-U0wrSFd9XUkAcsTwBf8nnpPJwIT2JuRSbR1pNOzFVMLdzzLR6zwVx2DIlmGMphOW8-Vy8ZZ2C7lZ7BN7zMhx7Re5vOaC0fijsBjSssvHRJOBK1tGaaupN_qA9qK657Ky1wE8,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Check My Twysts to see all your Vouchers.,,,,
APA91bHLy2oHLSuUvgj5stXvM2VCBFl9MLUTQDyfnRnytbQxulnzSqGbtKiXs9pyJ1FR7u0RGHcLh-K7dOSd-WhetfugzOGbx4ZQdrUW0utcXZvGQTSlk5UkQZTLItSwWZZIf8WDxHAY3_xS0EwoRQySXZiatwxthkgWlfzBiF4ucgrvCduAlPg,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Check My Twysts to see all your Vouchers.,,,,
APA91bFnK-4rVjE8aRBMxHJ-bptdfGjOTsEswJQj44Jr6fOgRDJi3dztuMLfE1uYiRGK8DxMjcVmT4ZWwCrt1dCvEMEcuIlEBcVS7BV5i10T3YkXi1xvh_40z3qW6BzEtRcPPM1HwZ87WjGG5s9aVDrJyxcyr4nU79zUwYM6kju4tlmAezxR5SU,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Check My Twysts to see all your Vouchers.,,,,
APA91bE0cMi0X_v-mc7oH8mjhvr6xdBA8AsdFKUsHMvI4sBzYY_8bt-a6EYfYizaSUAP6GjyuZikf0BJ0Okpqx8R0bCaaqp1blP6V6mbRtjAsEFmRVOSS2bNSpiF7FrWFgytBlb-sLUXQpc3PaTyOuRxVKHKa6mF-KCaLxepdvLgj9PZ8B7A7bs,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
APA91bGpEvmkXPV3BPlQ0WQ40dDkFaHjCtf5utuG8QQeMV9bGk5DmHjg8-wGBzZlONDinLBbk-u9T6w9G4vZrMu3S6QoBbAGo-jW1xsHNXWqn0dCamiJEEX441kl3HxcWasFB63nohMX-L61fcD1IKbuq23mqcNWjD6sEvcuTF9w8NeEWR_6I-w,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
APA91bGbihSnlf00oepwSSjylIYt1VAI3vPkc2djrRtCs9w8NCWYJm4BeMnw-i3HusHsbkzMU3LORPSffr90mEkUSNJgiGHQKzAOxg5GfswnT_k8pJ4JEnfIrF5imnJFKIFn93ToSN-CUYhO4nIZfBCQHPXKqpWUXU0njOb4Qtg-ogff3Poxy4w,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
APA91bHB6d0b-AIziGo04WcjOax-OqTODKcypp9Y2rn3TsCQDlGT9x-upVrxHvsMjqaps_7Nfmk6pclV3p9fKATX2Cnq7iJo_mCr6_tPofgDAbNZf9q0SKBj9Q5jU04lytz8eKMn9jO3vPspHTc06LFx4Gh_YXdalWJ0XNzXsob_S_Rb9qzCaAk,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
APA91bGL9ro7CmM1fj3RPEjE2gTbeavhM9k_y0M8Gbk1kktgTfpBBsZOoDeZDOvVgtdU9G-30QHjtGjRCcy3O9MhFNCVCiWwAYXFOrotSwPAFNkoZ8x2xTGpxYCWABgXc2TzeDDou25IUucoTg4rb1YLULA1EixmukrGc7qcy2tBE7X1zR9mi4Q,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
APA91bEWd1Foe_vcRdnPIHF3FiGjBzCzcBi2gCaNbmMkaEq_d47F4solhXoMnzcNNqM4GR9tBsgILRzFJFTKo-d4kEN6TtrOFozkMBSXuv9yy8uWQ52o_2FcMmkUxGBy4hcdx7tlgXRrX-QVhbCmj89oLopTntgB_A,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
APA91bGkxEQHZhaqG9yAaNan-zw_ZW5iYILvvzWozOSrVJtzn80KbcL2M7JG2k2wAnMpyRDpjJx-SNNrFZ_48oh8v0e8IMZXk8Abs9TeVCznzkwLXt2gBBn05i2QdlbyT5o1ulOzsama0wvUxKKU7opvhyq1fr7o9At4ZZOb3z9fA6vGkL58jMI,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
APA91bFQHNz4FA848fly_jJSqoxQ4VFB3dkDyWNSkmBtzBYSrxfRVXNHlr-dpEoEeKxJ8Lun-Xdk0Y0_jqaW9euYDN98jaTUjFLs3T9sgNSwziPYVAVC6d8xaZV_2FKbHTTSMoYFMg7a0cLPmjl98pMdCilxbELoDrKHcOF5JrEXIOWLTEdRx-g,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
APA91bH9RYZIOhkOszE-uEOlLRx8Z3a5Rqhvw6gS2NvYZQsV8eRek5X0DXcca8FXu2CldNzWCQ6MQNlaBU4Vx_zddw0KGdhqwjVhyCRZ1IwS9O-dvbJrulrPe6mwxvqxQ9nTeRzTRfhdsCzIi777X5fYApnROm93Zw,New Program starting at Biryani Blues on 24 May. Make sure you Redeem any Biryani Blues Vouchers you have by tomorrow! Update to the latest Twyst App to easily track your Visits & Rewards at your favourite outlets,,,,
